numeroPrecedente,orgaoJulgador,materia,dj,dp,situacao,n_proc,n_trib,tribs,justica,tese_len,n_artigos,numeroRepercussaoGeralSTF,cit_stj_ctx,cit_any,window_strict,teseFirmada,questaoSubmetidaAJulgamento,referenciaLegislativa,Assuntos
1142,S1,Foro / Laudêmio,2023-05-10,2023-05-19,Trânsito em Julgado,5,1,TRF3,Justiça Federal,1300,0,,0,2,True,"a) a inexistência de registro imobiliário da transação (contratos de gaveta) não impede a caracterização do fato gerador do laudêmio, sob pena de incentivar a realização de negócios jurídicos à margem da lei somente para evitar o pagamento dessa obrigação pecuniária;b) o termo inicial do prazo para a constituição dos créditos relativos ao laudêmio tem como data-base o momento em que a União toma conhecimento, por iniciativa própria ou por solicitação do interessado, do fato gerador, consoante exegese do § 1º do art. 47 da Lei n. 9.636/1998, com a redação dada pela Lei n. 9.821/1999, não sendo, portanto, a data em que foi consolidado o negócio jurídico entre os particulares o marco para a contagem do prazo decadencial, tampouco a data do registro da transação no cartório de imóvel;c) o art. 47 da Lei n. 9.636/1998 rege toda a matéria relativa a decadência e prescrição das receitas patrimoniais não tributárias da União Federal, não havendo razão jurídica para negar vigência à parte final do § 1º do aludido diploma legal quanto à inexigibilidade do laudêmio devido em casos de cessões particulares, referente ao período anterior ao conhecimento do fato gerador, visto que o legislador não diferenciou receitas patrimoniais periódicas (como foro e taxa) das esporádicas (como o laudêmio).","I - definir se a hipótese de inexigibilidade de cobrança prevista na parte final do art. 47, § 1º, da Lei n. 9.636/98 abrange ou não os créditos da União relativos a receitas esporádicas, notadamente aquelas referentes ao laudêmio; II - aferir se a inexistência de registro imobiliário da transação (contratos de gaveta) impede a caracterização do fato gerador do laudêmio e, por conseguinte, obsta a fluência do prazo decadencial de seu lançamento.",,10093- Foro / Laudêmio
1171,S3,Roubo,2023-12-13,2023-12-18,Trânsito em Julgado,1,1,TJRJ,Justiça Estadual,153,0,,0,2,True,"A utilização de simulacro de arma configura a elementar grave ameaça do tipo penal do roubo, subsumindo à hipótese legal que veda a substituição da pena.","Definir se configurado o delito de roubo, cometido mediante emprego de simulacro de arma, é possível substituir a pena privativa de liberdade por restritiva de direito.",,3419- Roubo
1205,S3,Crime Tentado,2023-10-24,2023-10-29,Trânsito em Julgado,2,1,TJAL,Justiça Estadual,143,0,,0,2,True,"A restituição imediata e integral do bem furtado não constitui, por si só, motivo suficiente para a incidência do princípio da insignificância.","Definir se a restituição imediata e integral do bem furtado constitui, por si só, motivo suficiente para a incidência do princípio da insignificância.",,"5555- Crime Tentado, 3416- Furto"
1008,S1,Direito Tributário,2023-05-09,2023-05-31,Trânsito em Julgado,3,1,TRF4,Justiça Federal,183,0,957,0,1,True,"O ICMS compõe a base de cálculo do Imposto de Renda da Pessoa Jurídica (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL), quando apurados na sistemática do lucro presumido.","Possibilidade de inclusão de valores de ICMS nas bases de cálculo do Imposto sobre a Renda de Pessoa Jurídica - IRPJ e da Contribuição Social sobre o Lucro Líquido - CSLL, quando apurados pela sistemática do lucro presumido.",,"14- DIREITO TRIBUTÁRIO, 5946- ICMS/ Imposto sobre Circulação de Mercadorias, 5933- IRPJ/Imposto de Renda de Pessoa Jurídica, 6036- Contribuição Social sobre o Lucro Líquido, 6008- Base de Cálculo"
1100,S3,Direito Penal,2022-08-10,2022-08-22,Trânsito em Julgado,2,2,"TJMG,TJRJ",Justiça Estadual,226,0,,0,1,False,"O acórdão condenatório de que trata o inciso IV do art. 117 do Código Penal interrompe a prescrição, inclusive quando confirmatório de sentença condenatória, seja mantendo, reduzindo ou aumentando a pena anteriormente imposta.","Definir se, nos termos do inciso IV do art. 117 do Código Penal, o acórdão condenatório sempre interrompe a prescrição, inclusive quando confirmatório da sentença de primeiro grau, seja mantendo, reduzindo ou aumentando a pena anteriormente imposta.",,"287- DIREITO PENAL, 10620- Parte Geral, 10623- Prescrição"
1102,S1,Índice de 28,2024-04-18,2024-04-26,Acórdão Publicado - RE Pendente,3,1,TRF1,Justiça Federal,697,0,,0,1,True,"I) É possível a comprovação de transação administrativa, relativa ao pagamento da vantagem de 28,86%, por meio de fichas financeiras ou documento expedido pelo Sistema Integrado de Administração de Recursos Humanos - SIAPE, conforme art. 7º, § 2º, da MP 1.962-33/2000, reproduzida na vigente MP 2.169-43/2001, apenas em relação a acordos firmados posteriormente à sua vigência.II) Quando não for localizado o instrumento de transação devidamente homologado, e buscando impedir o enriquecimento ilícito, os valores recebidos administrativamente, a título de 28,86%, demonstrados por meio dos documentos expedidos pelo SIAPE, devem ser deduzidos da quantia apurada, com as atualizações pertinentes. ","Definir se é possível a comprovação de transação administrativa, relativa ao pagamento da vantagem de 28,86%, por meio de fichas financeiras ou documento expedido pelo Sistema Integrado de Administração de Recursos Humanos - SIAPE, conforme art. 7º, § 2º, da MP nº 2.169-43/2001, inclusive em relação a acordos firmados em momento anterior à vigência dessa norma.",,"10317- Índice de 28,86% Lei 8.622/1993 e 8.627/1993"
1141,S1,Prescrição e Decadência,2023-10-25,2023-10-31,Trânsito em Julgado,3,1,TRF5,Justiça Federal,306,0,,0,1,True,"A pretensão de expedição de novo precatório ou requisição de pequeno valor, fundada nos arts. 2º e 3º da Lei 13.463/2017, sujeita-se à prescrição quinquenal prevista no art. 1º do Decreto 20.910/32 e tem, como termo inicial, a notificação do credor, na forma do § 4º do art. 2º da referida Lei 13.463/2017.","Definir se é prescritível a pretensão de expedição de novo precatório ou RPV, após o cancelamento da requisição anterior, de que tratam os arts. 2º e 3º da Lei 13.463, de 06/07/2017.",,"5632- Prescrição e Decadência, 10288- Sistema Remuneratório e Benefícios, 10673- Requisição de Pequeno Valor - RPV"
1153,CE,Títulos de Crédito,2024-06-05,2024-09-17,Acórdão Publicado - RE Pendente,2,1,TJSPCF,Justiça Estadual,188,0,,0,1,True,"A verba honorária sucumbencial, a despeito da sua natureza alimentar, não se enquadra na exceção prevista no § 2º do art. 833 do CPC/2015 (penhora para pagamento de prestação alimentícia).","Definir se os honorários advocatícios de sucumbência, em virtude da sua natureza alimentar, inserem-se ou não na exceção prevista no § 2º do art. 833 do Código de Processo Civil de 2015 - pagamento de prestação alimentícia.",,"4949- Títulos de Crédito, 9163- Penhora / Depósito/ Avaliação "
1191,S1,ICMS/ Imposto sobre Circulação de Mercad,2024-08-14,2024-08-23,Trânsito em Julgado,3,1,TJMG,Justiça Estadual,246,0,,0,1,True,"Na sistemática da substituição tributária para frente, em que o contribuinte substituído revende a mercadoria por preço menor do que a base de cálculo presumida para o recolhimento do tributo, é inaplicável a condição prevista no art. 166 do CTN.","Necessidade de observância, ou não, do que dispõe o artigo 166 do CTN nas situações em que se pleiteia a restituição/compensação de valores pagos a maior a título de ICMS no regime de substituição tributária para frente quando a base de cálculo efetiva da operação for inferior à presumida.",,"5946- ICMS/ Imposto sobre Circulação de Mercadorias, 5981- Substituição Tributária"
1208,S3,Direito Processual Penal,2023-10-17,2023-10-20,Trânsito em Julgado,2,1,TJMG,Justiça Estadual,180,0,,0,1,True,"A reincidência pode ser admitida pelo juízo das execuções penais para análise da concessão de benefícios, ainda que não reconhecida pelo juízo que prolatou a sentença condenatória.","Definir se a reincidência pode ser admitida pelo juízo das execuções penais para análise da concessão de benefícios, ainda que não reconhecida pelo juízo que prolatou a sentença condenatória.",,1209- DIREITO PROCESSUAL PENAL
1217,S1,Sistema Remuneratório e Benefícios,2024-05-22,2024-05-27,Trânsito em Julgado,3,1,TRF1,Justiça Federal,588,0,,0,1,True,"É válido o ato jurídico de cancelamento automático de precatórios ou requisições federais de pequeno valor realizados entre 06/07/2017 (data da publicação da Lei 13.463/2017) e 06/07/2022 (data da publicação da ata da sessão de julgamento da ADI 5.755/DF), nos termos do art. 2º, caput, e § 1º, da Lei 13.463/2017, desde que caracterizada a inércia do credor em proceder ao levantamento do depósito pelo prazo legalmente estabelecido (dois anos). É ilegal esse mesmo ato se circunstâncias alheias à vontade do credor impediam, ao tempo do cancelamento, o levantamento do valor depositado.","Possibilidade de cancelamento de precatórios ou Requisições de Pequeno Valor (RPV) federais, no período em que produziu efeitos jurídicos o art. 2º da Lei 13.463/2017, apenas em razão do decurso do prazo legal de dois anos do depósito dos valores devidos, independentemente de qualquer consideração acerca da existência ou inexistência de verdadeira inércia a cargo do titular do crédito.",,"10288- Sistema Remuneratório e Benefícios, 10422- Pagamento Atrasado / Correção Monetária"
997,S1,Parcelamento,2024-06-20,2024-07-01,Trânsito em Julgado,3,2,"TRF4,TRF5",Justiça Federal,449,0,,0,0,True,"O estabelecimento de teto para adesão ao parcelamento simplificado, por constituir medida de gestão e eficiência na arrecadação e recuperação do crédito público, pode ser feito por ato infralegal, nos termos do art. 96 do CTN. Excetua-se a hipótese em que a lei em sentido estrito definir diretamente o valor máximo e a autoridade administrativa, na regulamentação da norma, fixar quantia inferior à estabelecida na lei, em prejuízo do contribuinte.","Legalidade do estabelecimento, por atos infralegais, de limite máximo para a concessão do parcelamento simplificado, instituído pela Lei 10.522/2002.",,5989- Parcelamento
1074,S1,Direito Tributário,2022-10-26,2022-10-28,Trânsito em Julgado,3,1,TJDFT,Justiça Estadual,380,0,,0,0,False,"No arrolamento sumário, a homologação da partilha ou da adjudicação, bem como a expedição do formal de partilha e da carta de adjudicação, não se condicionam ao prévio recolhimento do imposto de transmissão causa mortis, devendo ser comprovado, todavia, o pagamento dos tributos relativos aos bens do espólio e às suas rendas, a teor dos arts. 659, § 2º, do CPC/2015 e 192 do CTN.","Necessidade de se comprovar, no arrolamento sumário, o pagamento do Imposto de Transmissão Causa Mortis e Doação - ITCMD como condição para a homologação da partilha ou expedição da carta de adjudicação, à luz dos arts. 192 do CTN e 659, § 2º, do CPC/2015.",,"14- DIREITO TRIBUTÁRIO, 5916- Impostos, 5955- ITCD - Imposto de Transmissão Causa Mortis, 899- DIREITO CIVIL, 7673- Sucessões, 7687- Inventário e Partilha"
1109,S1,Averbação / Contagem de Tempo Especial,2023-09-13,2023-10-02,Trânsito em Julgado,3,1,TRF4,Justiça Federal,329,0,,0,0,True,"Não ocorre renúncia tácita à prescrição (art. 191 do Código Civil), a ensejar o pagamento retroativo de parcelas anteriores à mudança de orientação jurídica, quando a Administração Pública, inexistindo lei que, no caso concreto, autorize a mencionada retroação, reconhece administrativamente o direito pleiteado pelo interessado.","Definição acerca da ocorrência, ou não, de renúncia tácita da prescrição, como prevista no art. 191 do Código Civil, quando a Administração Pública, no caso concreto, reconhece o direito pleiteado pelo interessado.",,10277- Averbação / Contagem de Tempo Especial
1111,S2,Direito Civil,2022-09-28,2022-10-03,Trânsito em Julgado,2,1,TJSPCF,Justiça Estadual,440,0,,0,0,False,"(i) o infortúnio qualificado como acidente de trabalho pode também ser caracterizado como sinistro coberto pelo seguro obrigatório (DPVAT), desde que estejam presentes seus elementos constituintes: acidente causado por veículo automotor terrestre, dano pessoal e relação de causalidade, e (ii) os sinistros que envolvem veículos agrícolas passíveis de transitar pelas vias públicas terrestres estão cobertos pelo seguro obrigatório (DPVAT).",Definir (i) se o infortúnio causado por veículo automotor e caracterizado como acidente de trabalho é capaz de impedir a configuração dos mesmos fatos como sinistro coberto pelo seguro obrigatório (DPVAT) e (ii) se os sinistros que envolvem veículos agrícolas passíveis de transitar pelas vias terrestres estão cobertos pelo seguro obrigatório DPVAT.,,"899- DIREITO CIVIL, 10431- Responsabilidade Civil, 10441- Acidente de Trânsito"
1117,S1,RMI - Renda Mensal Inicial,2022-08-24,2022-08-30,Trânsito em Julgado,2,1,TRF4,Justiça Federal,391,0,,0,0,False,"O marco inicial da fluência do prazo decadencial, previsto no caput do art. 103 da Lei n. 8.213/1991, quando houver pedido de revisão da renda mensal inicial (RMI) para incluir verbas remuneratórias recebidas em ação trabalhista nos salários de contribuição que integraram o período básico de cálculo (PBC) do benefício, deve ser o trânsito em julgado da sentença na respectiva reclamatória.",Definir se o prazo decadencial do direito à revisão da concessão de benefício previdenciário começa a fluir a partir do trânsito em julgado da sentença trabalhista que reconhece a inclusão de verbas remuneratórias nos salários de contribuição do segurado.,,6120- RMI - Renda Mensal Inicial
1118,S1,Direito Tributário,2022-11-23,2022-12-01,Trânsito em Julgado,3,2,"TJRJ,TJSPCF",Justiça Estadual,297,0,,0,0,False,"Somente mediante lei estadual/distrital específica poderá ser atribuída ao alienante responsabilidade solidária pelo pagamento do Imposto sobre a Propriedade de Veículos Automotores - IPVA do veículo alienado, na hipótese de ausência de comunicação da venda do bem ao órgão de trânsito competente.","Definir se o alienante de veículo automotor incorre, solidariamente, na responsabilidade tributária pelo pagamento do Imposto sobre a Propriedade de Veículos Automotores - IPVA, quando deixa de providenciar a comunicação da venda do bem móvel ao órgão de trânsito competente.",,"14- DIREITO TRIBUTÁRIO, 6017- Dívida Ativa (Execução Fiscal), 5916- Impostos, 5953- IPVA - Imposto Sobre Propriedade de Veículos Automotores"
1122,CE,Acidente de Trânsito,2024-08-21,2024-08-26,Trânsito em Julgado,1,1,TJSP,Justiça Estadual,269,0,,0,0,True,"As concessionárias de rodovias respondem, independentemente da existência de culpa, pelos danos oriundos de acidentes causados pela presença de animais domésticos nas pistas de rolamento, aplicando-se as regras do Código de Defesa do Consumidor e da Lei das Concessões.",(a) responsabilidade (ou não) das concessionárias de rodovia por acidente de trânsito causado por animal doméstico na pista de rolamento; e (b) caráter objetivo ou subjetivo dessa responsabilidade à luz do Código de Defesa do Consumidor e da Lei das Concessões.,,"10441- Acidente de Trânsito, 9996- Acidente de Trânsito, 10504- Acidente de Trânsito"
1123,S1,Taxa de Saúde Suplementar,2022-11-23,2022-12-14,Trânsito em Julgado,2,1,TRF5,Justiça Federal,285,0,,0,0,False,"O art. 3º da Resolução RDC 10/00 estabeleceu, em concreto, a própria base de cálculo da Taxa e Saúde Suplementar - especificamente na modalidade devida por plano de saúde (art. 20, I, da Lei 9.961/2000) -, em afronta ao princípio da legalidade estrita, previsto no art. 97, IV, do CTN.","(In)exigibilidade da cobrança da Taxa de Saúde Suplementar - TSS, instituída nos termos do art. 20, I, da Lei 9.961/2000.",,5967- Taxa de Saúde Suplementar
1133,S1,Direito Processual Civil E Do Trabalho,2023-05-10,2023-05-29,Trânsito em Julgado,3,1,TJSP,Justiça Estadual,306,0,,0,0,True,"O termo inicial dos juros de mora, em ação de cobrança de valores pretéritos ao ajuizamento de anterior mandado de segurança que reconheceu o direito, é a data da notificação da autoridade coatora no mandado de segurança, quando o devedor é constituído em mora (art. 405 do Código Civil e art. 240 do CPC).","Definir se o termo inicial dos juros de mora, em ação de cobrança dos valores pretéritos ao ajuizamento de anterior mandado de segurança, deve ser contado a partir da citação, na ação de cobrança, ou da notificação da autoridade coatora, quando da impetração do mandado de segurança.",,"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO, 7699- Juros de Mora - Legais / Contratuais"
1135,S1,Direito Administrativo E Outras Matérias De Direito Público,2022-10-26,2022-10-28,Trânsito em Julgado,4,1,TRF5,Justiça Federal,270,0,,0,0,False,"É possível ao servidor que já usufruiu o primeiro período de férias, após cumprida a exigência de 12 (doze) meses de exercício, usufruir as férias seguintes no mesmo ano civil, dentro do período aquisitivo ainda em curso, nos termos do § 1º do art. 77 da Lei 8.112/1990.","Possibilidade de o servidor que já usufruiu o primeiro período de férias, após cumprida a exigência de 12 (doze) meses de exercício, usufruir as férias seguintes no mesmo ano civil, dentro do período aquisitivo ainda em curso, nos termos do § 1º do art. 77 da Lei 8.112/1990.",,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10219- Servidor Público Civil, 10337- Sistema Remuneratório e Benefícios, 10301- Férias, 10883- Fruição / Gozo"
1136,S1,Direito Administrativo E Outras Matérias De Direito Público,2023-06-14,2023-06-20,Trânsito em Julgado,4,1,TRF4,Justiça Federal,119,0,,0,0,True,"É legal a fixação, em ato normativo infralegal, de prazo máximo para o trabalhador formal requerer o seguro-desemprego.","Legalidade da fixação, por ato normativo infralegal, de prazo máximo para o trabalhador requerero seguro-desemprego e apresentar a documentação necessária.",,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10181- Seguro desemprego, 10157- Organização Político-administrativa / Administração Pública"
1140,S1,RMI - Renda Mensal Inicial,2024-08-14,2024-08-27,Acórdão Publicado - RE Pendente,2,1,TRF4,Justiça Federal,465,0,,0,0,True,"Para efeito de adequação dos benefícios previdenciários concedidos antes da Constituição Federal aos tetos das Emendas Constitucionais n. 20/1998 e 41/2003, no cálculo devem-se aplicar os limitadores vigentes à época de sua concessão (menor e maior valor teto), utilizando-se o teto do salário de contribuição estabelecido em cada uma das emendas constitucionais como maior valor teto, e o equivalente à metade daquele salário de contribuição como menor valor teto.","Definir, para efeito de adequação dos benefícios concedidos antes da Constituição Federal aos tetos das Emendas Constitucionais ns. 20/1998 e 41/2003, a forma de cálculo da renda mensal do benefício em face da aplicação, ou não, dos limitadores vigentes à época de sua concessão (menor e maior valor-teto).",,6120- RMI - Renda Mensal Inicial
1149,S1,Direito Administrativo E Outras Matérias De Direito Público,2023-03-08,2023-04-25,Trânsito em Julgado,3,1,TRF3,Justiça Federal,591,0,,0,0,True,"A Lei 9.969/1998 não prevê a obrigatoriedade de inscrição de técnico ou treinador de tênis nos Conselhos de Educação Física, nem estabelece a exclusividade do desempenho de tal função aos profissionais regulamentados pela referida norma, quando as atividades desenvolvidas pelo técnico ou treinador de tênis restrinjam-se às táticas do esporte em si e não se confundam com preparação física, limitando-se à transmissão de conhecimentos de domínio comum decorrentes de sua própria experiência em relação ao referido desporto, o que torna dispensável a graduação específica em Educação Física.","Definir, à luz dos arts. 2º, III, e 3º da Lei 9.696/1998, se os professores, instrutores, técnicos ou treinadores de tênis devem ser inscritos no conselho profissional da classe dos profissionais de educação física.",,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10157- Organização Político-administrativa / Administração Pública, 10166- Conselhos Regionais de Fiscalização Profissional e Afins"
1156,S2,Irregularidade no atendimento,2024-04-24,2024-04-29,Trânsito em Julgado,1,1,TJGO,Justiça Estadual,150,0,,0,0,True,O simples descumprimento do prazo estabelecido em legislação específica para a prestação de serviço bancário não gera por si só dano moral in re ipsa.,Definir se a demora na prestação de serviços bancários superior ao tempo previsto em legislação específica gera dano moral individual in re ipsa apto a ensejar indenização ao consumidor.,,11864- Irregularidade no atendimento
1159,S1,Direito Ambiental,2023-09-13,2023-09-19,Trânsito em Julgado,2,2,"TRF1,TRF5",Justiça Federal,153,0,,0,0,True,"A validade das multas administrativas por infração ambiental, previstas na Lei n. 9.605/1998, independe da prévia aplicação da penalidade de advertência.","Definir se, para a aplicação válida de multas administrativas ambientais, previstas na Lei n. 9.605/1998, há obrigatoriedade da imposição prévia da pena de advertência.",,"10110- DIREITO AMBIENTAL, 10112- Revogação/Anulação de multa ambiental"
1160,S1,Incidência sobre Aplicações Financeiras,2023-03-08,2023-04-24,Trânsito em Julgado,5,1,TRF4,Justiça Federal,220,0,1168,0,0,True,"O IR e a CSLL incidem sobre a correção monetária das aplicações financeiras, porquanto estas se caracterizam legal e contabilmente como Receita Bruta, na condição de Receitas Financeiras componentes do Lucro Operacional.","A possibilidade de incidência do Imposto de Renda retido na fonte e da Contribuição Social sobre o Lucro Líquido sobre o total dos rendimentos e ganhos líquidos de operações financeiras, ainda que se trate de variações patrimoniais decorrentes de diferença de correção monetária.",,"5936- Incidência sobre Aplicações Financeiras, 6036- Contribuição Social sobre o Lucro Líquido"
1164,S1,Direito Tributário,2023-04-26,2023-05-12,Trânsito em Julgado,2,2,"TRF3,TRF5",Justiça Federal,103,0,,0,0,True,Incide a contribuição previdenciária a cargo do empregador sobre o auxílio-alimentação pago em pecúnia.,Definir se incide contribuição previdenciária patronal sobre o auxílio-alimentação pago em pecúnia.,,"14- DIREITO TRIBUTÁRIO, 6048- Contribuições Previdenciárias, 6063- Auxílio-Alimentação"
1165,S3,Pena Privativa de Liberdade,2024-08-14,2024-12-02,Acórdão Publicado,5,2,"TJRS,TJSPRGL",Justiça Estadual,740,0,,0,0,True,"A decisão que defere a progressão de regime não tem natureza constitutiva, senão declaratória. O termo inicial para a progressão de regime deverá ser a data em que preenchidos os requisitos objetivo e subjetivo descritos no art. 112 da Lei 7.210, de 11/07/1984 (Lei de Execução Penal), e não a data em que efetivamente foi deferida a progressão. Essa data deverá ser definida de forma casuística, fixando-se como termo inicial o momento em que preenchido o último requisito pendente, seja ele o objetivo ou o subjetivo. Se por último for preenchido o requisito subjetivo, independentemente da anterior implementação do requisito objetivo, será aquele (o subjetivo) o marco para fixação da data-base para efeito de nova progressão de regime.","A decisão que defere a progressão de regime não tem natureza constitutiva, senão declaratória. O termo inicial para a progressão de regime deverá ser a data em que preenchidos os requisitos objetivo e subjetivo descritos no art. 112 da Lei 7.210, de 11/07/1984 (Lei de Execução Penal), e não a data em que efetivamente foi deferida a progressão. Essa data deverá ser definida de forma casuística, fixando-se como termo inicial o momento em que preenchido o último requisito pendente, seja ele o objetivo ou o subjetivo. Se por último for preenchido o requisito subjetivo, independentemente da anterior implementação do requisito objetivo, será aquele (o subjetivo) o marco para fixação da data-base para efeito de nova progressão de regime.",,7791- Pena Privativa de Liberdade
1167,S3,Direito Processual Penal,2023-03-08,2023-03-29,Trânsito em Julgado,2,1,TJMG,Justiça Estadual,306,0,,0,0,True,"""A audiência prevista no art. 16 da Lei 11.340/2006 tem por objetivo confirmar a retratação, não a representação, e não pode ser designada de ofício pelo juiz. Sua realização somente é necessária caso haja manifestação do desejo da vítima de se retratar trazida aos autos antes do recebimento da denúncia"".","Definir se a audiência preliminar prevista no art. 16 da Lei n. 11.340/2006 (Lei Maria da Penha) é ato processual obrigatório determinado pela lei ou se configura apenas um direito da ofendida, caso manifeste o desejo de se retratar.",,"1209- DIREITO PROCESSUAL PENAL, 14226- Crimes Previstos na Lei Maria da Penha"
1168,S3,Direito Penal,2023-08-03,2023-08-08,Trânsito em Julgado,3,1,TRF3,Justiça Federal,316,0,,0,0,True,"Os tipos penais trazidos nos arts. 241-A e 241-B do Estatuto da Criança e do Adolescente são autônomos, com verbos e condutas distintas, sendo que o crime do art. 241-B não configura fase normal, tampouco meio de execução para o crime do art. 241-A, o que possibilita o reconhecimento de concurso material de crimes.","Os tipos penais trazidos nos arts. 241-A e 241-B do Estatuto da Criança e do Adolescente são autônomos, com verbos e condutas distintas, sendo que o crime do art. 241-B não configura fase normal tampouco meio de execução para o crime do art. 241-A, o que possibilita o reconhecimento de concurso material de crimes.",,"287- DIREITO PENAL, 3637- Crimes Previstos no Estatuto da criança e do adolescente"
1174,S1,Contribuições Previdenciárias,2024-08-14,2024-08-26,Trânsito em Julgado,7,1,TRF4,Justiça Federal,571,0,1221,0,0,True,"As parcelas relativas ao vale-transporte, vale-refeição/alimentação, plano de assistência à saúde (auxílio-saúde, odontológico e farmácia), ao Imposto de Renda retido na fonte (IRRF) dos empregados e à contribuição previdenciária dos empregados, descontadas na folha de pagamento do trabalhador, constituem simples técnica de arrecadação ou de garantia para recebimento do credor, e não modificam o conceito de salário ou de salário contribuição, e, portanto, não modificam a base de cálculo da contribuição previdenciária patronal, do SAT e da contribuição de terceiros.","Possibilidade de excluir as seguintes verbas da base de cálculo da contribuição previdenciária patronal e das contribuições destinadas a terceiros e ao SAT/RAT: a) valores relativos à contribuição previdenciária do empregado e do trabalhador avulso e ao imposto de renda de pessoa física, retidos na fonte pelo empregador; b) parcelas retidas ou descontadas a título de coparticipação do empregado em benefícios, tais como: vale-transporte, vale-refeição e plano de assistência à saúde ou odontológico, dentre outros.",,6048- Contribuições Previdenciárias
1175,S1,Descontos Indevidos,2023-09-13,2023-09-20,Trânsito em Julgado,3,1,TJDFT,Justiça Estadual,656,0,,0,0,True,"a) antes da vigência do § 7º do art. 22 do Estatuto da OAB (5 de outubro de 2018), é necessária a apresentação dos contratos celebrados com cada um dos filiados ou beneficiários para que o sindicato possa reter os honorários contratuais sobre o montante da condenação;b) após a vigência do supracitado dispositivo, para que o sindicato possa reter os honorários contratuais sobre o montante da condenação, embora seja dispensada a formalidade de apresentação dos contratos individuais e específicos para cada substituído, mantém-se necessária a autorização expressa dos filiados ou beneficiários que optarem por aderir às obrigações do contrato originário.",Necessidade ou não de apresentação do contrato celebrado com cada um dos filiados para que o sindicato possa reter os honorários contratuais sobre o montante da condenação.,,"10296- Descontos Indevidos, 10304- Auxílio-Alimentação"
1179,S1,Anuidades OAB,2023-10-25,2023-10-31,Trânsito em Julgado,2,1,TRF3,Justiça Federal,123,0,,0,0,True,Os Conselhos Seccionais da Ordem dos Advogados do Brasil não podem instituir e cobrar anuidade das sociedades de advogados.,"Definir se os Conselhos Seccionais da Ordem dos Advogados do Brasil (OAB) podem, à luz da Lei n. 8.906/1994, instituir e cobrar anuidade das sociedades de advogados.",,10172- Anuidades OAB
1184,S1,Pena de Multa,2023-06-14,2023-06-28,Trânsito em Julgado,2,1,TRF4,Justiça Federal,441,0,,0,0,True,"(i) a regra da irretratabilidade da opção pela Contribuição Previdenciária sobre Receita Bruta (CPRB) prevista no § 13 do art. 9º da Lei 12.546/2011 destina-se apenas ao beneficiário do regime, e não à Administração; e(ii) a revogação da escolha de tributação da contribuição previdenciária pelo sistema da CPRB, trazida pela Lei 13.670/2018, não feriu direitos do contribuinte, tendo em vista que foi respeitada a anterioridade nonagesimal.","""i) Definir se a regra prevista no § 13 do art. 9º da Lei n. 12.546/2011 é dirigida apenas aos contribuintes ou se também vincula a Administração Tributária"" e ""ii) Definir se a revogação da escolha de tributação da contribuição previdenciária pelo sistema da Contribuição Previdenciária sobre Receita Bruta (CPRB) trazida pela Lei n. 13.670/2018 feriu direito do contribuinte ante o caráter irretratável previsto no § 13 do art. 9º da Lei n. 12.546/2011.""",,7792- Pena de Multa
1187,S1,PAES/Parcelamento Especial,2023-10-25,2024-01-11,Trânsito em Julgado,3,1,TRF4,Justiça Federal,496,0,,0,0,True,"Nos casos de quitação antecipada, parcial ou total, dos débitos fiscais objeto de parcelamento, conforme previsão do art. 1º da Lei 11.941/2009, o momento de aplicação da redução dos juros moratórios deve ocorrer após a  consolidação da dívida, sobre o  próprio montante devido originalmente a  esse título, não existindo amparo legal para que a exclusão de 100% da multa de mora e de ofício implique exclusão proporcional dos juros de mora, sem que a lei assim o tenha definido de modo expresso.","Definir o momento da aplicação da redução dos juros moratórios, nos casos de quitação antecipada, parcial ou total, dos débitos fiscais objeto de parcelamento, conforme previsão do art. 1º da Lei 11.941/2009.",,6091- PAES/Parcelamento Especial
1189,S3,Direito Processual Penal,2023-06-14,2023-06-16,Trânsito em Julgado,1,1,TJRJ,Justiça Estadual,268,0,,0,0,True,"A vedação constante do art. 17 da Lei n. 11.340/2006 (Lei Maria da Penha) obsta a imposição, nos casos de violência doméstica e familiar contra a mulher, de pena de multa isoladamente, ainda que prevista de forma autônoma no preceito secundário do tipo penal imputado.","Definir se a vedação constante do art. 17 da Lei n. 11.340/2006 (Lei Maria da Penha) obsta a imposição, nos casos de violência doméstica e familiar contra a mulher, de pena de multa isoladamente, ainda que prevista de forma autônoma no preceito secundário do tipo penal imputado.",,"1209- DIREITO PROCESSUAL PENAL, 14226- Crimes Previstos na Lei Maria da Penha, 7792- Pena de Multa"
